2025-03-20T05:09:31.157428+00:00,../../etc/passwd,16,1,Potential Path Traversal detected
2025-03-21T05:25:50.669766+00:00,"Hello, world!",13,0,None
2025-03-21T05:25:50.670376+00:00,12345,5,0,None
2025-03-21T05:25:50.671453+00:00,test@example.com,16,1,Simulated crash
2025-03-21T05:25:50.671601+00:00,,0,0,None
2025-03-21T05:25:50.671758+00:00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,1000,0,None
2025-03-21T05:25:50.672007+00:00,特殊字符,4,0,None
2025-03-21T05:25:50.672491+00:00,None,0,1,Input must be a string
2025-03-22T14:22:25.950129,"Hello, world!",13,0,
2025-03-22T14:22:25.951076,12345,5,0,
2025-03-22T14:22:25.951198,test@example.com,16,1,Simulated crash
2025-03-22T14:22:25.951291,,0,0,
2025-03-22T14:22:25.951402,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,1000,0,
2025-03-22T14:22:25.952680,特殊字符,4,0,
2025-03-22T14:22:25.952824,<script>alert('XSS')</script>,29,1,XSS detected
2025-03-22T14:22:25.952905,' OR '1'='1,11,0,
2025-03-22T14:22:25.953963,../../etc/passwd,16,1,Potential Path Traversal detected
2025-03-22T14:22:25.954122,,0,1,Input must be a string
